site_name,destination,author,description,date_added,url
Frommer's,Australia and the South Pacific,Frommer's,"Tucked away in a corner of the Pacific Ocean, the countries of Oceania aren't quickly reached by travelers from many parts of the globe. ",,https://www.frommers.com/destinations/australia-and-the-south-pacific
Frommer's,Bora Bora,Frommer's,Bora Bora satisfies every expectation of the idyllic Polynesian island.,,https://www.frommers.com/destinations/bora-bora
Frommer's,Perth,Frommer's,Perth is probably the most outdoorsy of all Aussie cities. ,,https://www.frommers.com/destinations/perth
Frommer's,Madrid,Frommer's,"The old and the new contrast vividly in Madrid, where narrow cobbled lanes and 17th-century chapels border modern boulevards and gleaming skyscrapers. ",,https://www.frommers.com/destinations/madrid
Frommer's,Vienna,Frommer's,"A whirl of gilded Hapsburg palaces and regal parks on the banks of the blue Danube, Vienna is a fine romance of a city.",,https://www.frommers.com/destinations/vienna
Frommer's,Barcelona,Frommer's,"A Gothic and Modernist marvel on the Mediterranean Sea, Barcelona is quirky, cosmopolitan and effortlessly cool.",,https://www.frommers.com/destinations/barcelona
Frommer's,London,Frommer's,"London is inexhaustible. There are so many things to do, you could tour it for months and barely get to know it.",,https://www.frommers.com/destinations/london
Frommer's,Kauai,Frommer's,"On any list of the world's most spectacular islands, Kauai ranks right up there with Bora Bora, Huahine, and Rarotonga.",,https://www.frommers.com/destinations/kauai
Frommer's,San Francisco,Frommer's,San Francisco’s reputation as a rollicking city where almost anything goes dates back to the boom-or-bust days of the California gold rush.,,https://www.frommers.com/destinations/san-francisco
Frommer's,Seattle,Frommer's,"If you distilled Seattle’s history into five points, it would read something like this: a great fire (1889), a frenzied gold rush (1897), a World’s Fair (1962), the formation of an airplane company called Boeing (1917), and the emergence of a game-changing computer company named Microsoft (1975). ",,https://www.frommers.com/destinations/seattle
Frommer's,Vancouver,Frommer's,"Ringed by snow-capped, forested mountains dropping down to miles of sandy beaches, Vancouver is a city where you can snowboard and sail on the same day.",,https://www.frommers.com/destinations/vancouver
Frommer's,Montreal,Frommer's,"Somehow Montréal knows she's the most eclectic of Canada's cities: The island metropolis hosts international gigs like the Jazz Fest, delights culinary crowds with her French-Canadian cuisine, and struts her Euro-heritage along the historic streets of the newly revitalized Vieux-Montréal.",,https://www.frommers.com/destinations/montreal
Travel and Leisure,West Bengal,Rollo Romig,"A world away from the usual circuit of New Delhi, Agra, and Jaipur, a different tour of the subcontinent is emerging. With the underappreciated city of Kolkata as his base, Rollo Romig travels from the tranquil Himalayan foothills to the idyllic, palm-fringed Andaman Islands — a path that captures eastern India in all its dazzling diversity.",,https://www.travelandleisure.com/trip-ideas/kolkata-darjeeling-himalayas-eastern-india
Travel and Leisure,Helsinki,Karen Mackenna,"If you love great design, it's high time you book a trip to Helsinki. Ahead, the best shops, attractions, and even saunas for Finland-bound travelers.",,https://www.travelandleisure.com/trip-ideas/this-city-is-europes-most-underrated-design-capital
Travel and Leisure,Houston,Travel and Leisure,"Energy and Fortune 500 companies. Life-saving advancements and the world's largest medical center. Aerospace technology and NASA. And, yes, automobile-clogged urban sprawl. These are things for which Houston is known, but the United States' fourth largest city—soon to be third, if population trends continue—has many surprises in store for those who arrive with an open mind and choose to stay a little while.",,https://www.travelandleisure.com/travel-guide/houston
Travel and Leisure,Israel,Julie Alvin,"Shiny new trains, airports, and hotels are all coming to Israel in 2019, catapulting the ancient land into the modern age as the rest of the country catches up with vibrant Tel Aviv.",,https://www.travelandleisure.com/hotels-resorts/tel-aviv-infinity-pool
Travel and Leisure,Jackson Hole,Geraldine Mishev,"This rural region — which includes the town of Jackson and the ski resort of Teton Village — makes headlines thanks to its residents, who happen to be among the top earners in the country.",,https://www.travelandleisure.com/local-experts/jackson-hole/top-5-scenic-drives-jackson-hole
Travel and Leisure,Los Cabos,Travel and Leisure,Los Cabos is a tale of two Mexican towns—Cabo San Lucas and San José del Cabo—set at the tip of Mexico's Baja Peninsula.,,https://www.travelandleisure.com/travel-guide/los-cabos
Travel and Leisure,Madeira,Erika Owen,"Madeira, a Portuguese archipelago famous for the fortified wine that bears its name, will celebrate the 600th anniversary of its discovery this year.",,https://www.travelandleisure.com/photography/madeira-photos
Travel and Leisure,Santa Barbara,Megan Barber,"There's a reason Santa Barbara's been called the American Riviera. Pleasant temperatures year-round, sunny beaches, and gorgeous Spanish architecture make this sophisticated stopover a dream.",,https://www.travelandleisure.com/weekend-getaways/weekend-in-santa-barbara
Travel and Leisure,Oman,Dylan Essertier,"Oman is known for its high mountains, silky sand dunes, preserved fortresses, and breathtaking fjords.",,https://www.travelandleisure.com/trip-ideas/how-to-travel-to-oman
Travel and Leisure,Prague,Claudia Fisher,"With some of the biggest and oldest monuments in the world, Prague fosters make-believe wonder like few other cities.",,https://www.travelandleisure.com/photography/prague-photos
Travel and Leisure,Santiago,Michaela Trimble,"Set in the center of the world’s thinnest country, between the wild tundra of Patagonia to the south and the immense desert of San Pedro de Atacama to the north, Santiago has long been an obligatory stop on the route to, well, elsewhere.",,https://www.travelandleisure.com/trip-ideas/best-places-to-travel-in-2019#santiago-chile
